INFO - fast_ddpm_main.py - 2024-12-08 10:03:41,944 - Using device: cuda
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Added key: store_based_barrier_key:1 to store for rank: 0
INFO - distributed_c10d.py - 2024-12-08 10:03:43,808 - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Writing log file to exp/logs/Fast-DDPM_experiments
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp instance id = 12815
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Exp comment = 
INFO - fast_ddpm_main.py - 2024-12-08 10:03:43,808 - Initialized distributed training: rank 0/4
INFO - diffusion.py - 2024-12-08 10:05:38,480 - step: 1, loss: 107874.71875
INFO - diffusion.py - 2024-12-08 10:06:09,816 - step: 2, loss: 93040.34375
INFO - diffusion.py - 2024-12-08 10:06:11,527 - step: 3, loss: 82931.625
INFO - diffusion.py - 2024-12-08 10:06:13,021 - step: 4, loss: 73556.2109375
INFO - diffusion.py - 2024-12-08 10:06:14,897 - step: 5, loss: 62993.59375
INFO - diffusion.py - 2024-12-08 10:06:16,458 - step: 6, loss: 64392.03125
INFO - diffusion.py - 2024-12-08 10:06:18,220 - step: 7, loss: 42273.91015625
INFO - diffusion.py - 2024-12-08 10:06:19,838 - step: 8, loss: 54785.4140625
INFO - diffusion.py - 2024-12-08 10:06:21,399 - step: 9, loss: 31251.654296875
INFO - diffusion.py - 2024-12-08 10:06:23,047 - step: 10, loss: 37810.59765625
INFO - diffusion.py - 2024-12-08 10:06:24,706 - step: 11, loss: 34870.5
INFO - diffusion.py - 2024-12-08 10:06:26,378 - step: 12, loss: 15729.3232421875
INFO - diffusion.py - 2024-12-08 10:06:27,938 - step: 13, loss: 27005.7421875
INFO - diffusion.py - 2024-12-08 10:06:29,617 - step: 14, loss: 10492.015625
INFO - diffusion.py - 2024-12-08 10:06:31,129 - step: 15, loss: 21876.857421875
INFO - diffusion.py - 2024-12-08 10:06:32,912 - step: 16, loss: 19624.70703125
INFO - diffusion.py - 2024-12-08 10:06:34,986 - step: 17, loss: 19644.966796875
INFO - diffusion.py - 2024-12-08 10:06:36,911 - step: 18, loss: 6661.4189453125
INFO - diffusion.py - 2024-12-08 10:06:38,774 - step: 19, loss: 6666.23046875
INFO - diffusion.py - 2024-12-08 10:06:40,594 - step: 20, loss: 20042.19140625
INFO - diffusion.py - 2024-12-08 10:06:42,730 - step: 21, loss: 6897.5634765625
INFO - diffusion.py - 2024-12-08 10:06:45,021 - step: 22, loss: 9908.12890625
INFO - diffusion.py - 2024-12-08 10:06:46,998 - step: 23, loss: 18238.462890625
INFO - diffusion.py - 2024-12-08 10:06:48,704 - step: 24, loss: 6712.7158203125
INFO - diffusion.py - 2024-12-08 10:06:50,809 - step: 25, loss: 19085.55859375
INFO - diffusion.py - 2024-12-08 10:06:52,786 - step: 26, loss: 8385.287109375
INFO - diffusion.py - 2024-12-08 10:06:54,526 - step: 27, loss: 18383.66015625
INFO - diffusion.py - 2024-12-08 10:06:56,350 - step: 28, loss: 7148.8251953125
INFO - diffusion.py - 2024-12-08 10:06:58,337 - step: 29, loss: 5179.353515625
INFO - diffusion.py - 2024-12-08 10:07:00,261 - step: 30, loss: 17743.0546875
INFO - diffusion.py - 2024-12-08 10:07:02,049 - step: 31, loss: 17311.541015625
INFO - diffusion.py - 2024-12-08 10:07:03,834 - step: 32, loss: 6543.90283203125
INFO - diffusion.py - 2024-12-08 10:07:05,913 - step: 33, loss: 5334.51171875
INFO - diffusion.py - 2024-12-08 10:07:07,954 - step: 34, loss: 5090.5751953125
INFO - diffusion.py - 2024-12-08 10:07:09,970 - step: 35, loss: 6817.8154296875
INFO - diffusion.py - 2024-12-08 10:07:11,925 - step: 36, loss: 18276.080078125
INFO - diffusion.py - 2024-12-08 10:07:13,814 - step: 37, loss: 4340.97802734375
INFO - diffusion.py - 2024-12-08 10:07:16,022 - step: 38, loss: 4264.103515625
INFO - diffusion.py - 2024-12-08 10:07:18,265 - step: 39, loss: 15790.2626953125
INFO - diffusion.py - 2024-12-08 10:07:20,405 - step: 40, loss: 39675.3125
INFO - diffusion.py - 2024-12-08 10:07:22,598 - step: 41, loss: 15540.93359375
INFO - diffusion.py - 2024-12-08 10:07:24,745 - step: 42, loss: 3926.8525390625
INFO - diffusion.py - 2024-12-08 10:07:26,749 - step: 43, loss: 16274.7978515625
INFO - diffusion.py - 2024-12-08 10:07:28,798 - step: 44, loss: 14966.7353515625
INFO - diffusion.py - 2024-12-08 10:07:30,894 - step: 45, loss: 3683.39599609375
INFO - diffusion.py - 2024-12-08 10:07:32,886 - step: 46, loss: 3463.270263671875
INFO - diffusion.py - 2024-12-08 10:07:34,862 - step: 47, loss: 16225.16796875
INFO - diffusion.py - 2024-12-08 10:07:37,008 - step: 48, loss: 16118.875
INFO - diffusion.py - 2024-12-08 10:07:39,088 - step: 49, loss: 14647.9345703125
INFO - diffusion.py - 2024-12-08 10:07:40,977 - step: 50, loss: 2523.21142578125
INFO - diffusion.py - 2024-12-08 10:07:42,986 - step: 51, loss: 27784.96484375
INFO - diffusion.py - 2024-12-08 10:07:44,944 - step: 52, loss: 2413.64111328125
INFO - diffusion.py - 2024-12-08 10:07:47,155 - step: 53, loss: 28357.68359375
INFO - diffusion.py - 2024-12-08 10:07:49,085 - step: 54, loss: 2311.65673828125
INFO - diffusion.py - 2024-12-08 10:07:51,093 - step: 55, loss: 3072.90380859375
INFO - diffusion.py - 2024-12-08 10:07:53,045 - step: 56, loss: 28521.82421875
INFO - diffusion.py - 2024-12-08 10:07:55,129 - step: 57, loss: 14646.1513671875
INFO - diffusion.py - 2024-12-08 10:07:57,213 - step: 58, loss: 14394.1474609375
INFO - diffusion.py - 2024-12-08 10:07:59,266 - step: 59, loss: 3096.83837890625
INFO - diffusion.py - 2024-12-08 10:08:01,202 - step: 60, loss: 14489.79296875
INFO - diffusion.py - 2024-12-08 10:08:03,134 - step: 61, loss: 3061.733154296875
INFO - diffusion.py - 2024-12-08 10:08:05,191 - step: 62, loss: 14549.3818359375
INFO - diffusion.py - 2024-12-08 10:08:07,137 - step: 63, loss: 14951.482421875
